Datum;Uhrzeit;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;COSPHI;Leistung;
01.01.2025;12:00:44;0.97; 78011.69;0.97; 71381.57;0.96; 67525.02;0.85;  1667.41;0.94;  2593.09;0.75;  1145.74;0.89;  2104.58;0.99;  4959.02;0.88;    2005;0.93;  1437.12;0.98;  1461.35;0.98;  1412.26;0.91; 10845.96;0.91; 10724.53;0.92; 11183.26;0.97; 14040.42;0.97; 13713.39;0.97; 11948.54;0.70;  4085.25;0.75;  4071.22;0.75;  5207.86;0.87;  7314.62;0.79;  4676.07;0.83;  5474.97;0.81;  5402.81;0.79;  5210.19;0.80;  5138.27;
01.01.2025;12:00:44;0.97; 78614.08;0.97; 71358.18;0.96; 67792.43;0.86;  1648.92;0.94;  2565.47;0.76;  1125.98;0.89;  2122.15;0.99;  4967.17;0.88;  1999.28;0.93;  1428.35;0.98;  1460.17;0.98;  1400.55;0.91; 10915.28;0.91;   10644;0.92;  11062.7;0.98; 14547.52;0.97; 13780.45;0.97; 11961.81;0.70;  4218.28;0.75;  4074.16;0.75;  5322.68;0.87;  7466.16;0.79;  4783.04;0.83;  5419.73;0.81;  5410.49;0.79;  5189.47;0.80;  5135.57;
01.01.2025;12:00:44;0.97; 78083.67;0.97; 71390.09;0.96; 67867.95;0.86;  1652.67;0.94;  2572.06;0.75;  1126.57;0.90;  2151.03;0.99;   4980.1;0.89;  2044.44;0.93;  1413.38;0.98;  1459.92;0.98;  1401.23;0.90;  10744.8;0.92; 10817.04;0.92; 11025.53;0.97; 14040.39;0.97; 13777.75;0.97; 11925.33;0.70;  4189.18;0.75;  4044.21;0.75;  5356.35;0.87;  7337.35;0.79;  4765.17;0.83;  5418.55;0.81;  5406.97;0.79;  5192.25;0.80;  5134.44;
01.01.2025;12:00:44;0.97; 78036.99;0.97; 71303.41;0.96; 67821.28;0.86;  1650.48;0.94;  2601.54;0.76;  1130.03;0.89;  2123.01;0.99;  4982.63;0.89;  2043.21;0.93;  1444.98;0.98;  1459.46;0.98;  1406.41;0.91; 10813.02;0.91; 10414.03;0.92; 11248.82;0.97;  14075.5;0.97; 13684.65;0.97; 11985.05;0.70;  4102.16;0.75;  4121.53;0.75;  5370.09;0.87;  7458.25;0.79;  4681.08;0.83;  5504.34;0.81;   5377.5;0.78;  5171.66;0.80;  5124.39;
01.01.2025;12:00:44;0.97;  78135.2;0.97; 71438.74;0.96; 67677.58;0.85;  1677.59;0.94;  2592.47;0.76;  1121.08;0.90;  2145.42;0.99;  4997.85;0.88;  2039.73;0.93;  1448.79;0.98;  1460.16;0.98;  1409.82;0.91; 10970.45;0.91; 10706.05;0.92; 11128.31;0.97; 14429.07;0.97; 13731.16;0.97; 11914.58;0.70;  4134.44;0.75;  4022.61;0.75;  5370.38;0.87;   7292.5;0.79;  4784.12;0.83;  5425.99;0.81;  5389.62;0.79;  5180.02;0.80;  5114.22;
01.01.2025;12:00:44;0.97; 78877.11;0.97; 71645.01;0.96; 68028.43;0.85;  1660.59;0.94;  2589.96;0.75;   1135.3;0.90;  2175.98;0.99;   4987.5;0.88;  2055.14;0.93;  1477.59;0.98;  1459.33;0.98;  1411.82;0.91; 11160.06;0.91; 10442.52;0.92; 11036.07;0.97; 14000.36;0.97; 13859.18;0.97; 12047.11;0.70;  4174.77;0.76;  4123.83;0.75;  5341.47;0.87;  7429.23;0.79;  4763.81;0.83;  5621.27;0.81;  5367.97;0.79;  5179.78;0.80;   5127.5;
01.01.2025;12:00:44;0.97; 78661.68;0.97; 71521.06;0.96; 68214.39;0.85;  1672.05;0.94;  2570.41;0.75;  1145.71;0.90;  2166.11;0.99;  5000.86;0.89;  2070.18;0.93;  1451.86;0.98;  1460.12;0.98;  1406.17;0.91; 10989.48;0.91;  10601.4;0.92; 11248.95;0.97; 14059.47;0.97; 13866.45;0.97; 11993.82;0.71;  4227.36;0.75;  4196.58;0.75;  5368.15;0.87;  7366.91;0.79;  4708.22;0.83;  5539.33;0.81;  5376.64;0.78;  5174.39;0.80;  5124.43;
01.01.2025;12:00:44;0.97; 78156.33;0.97; 71381.12;0.96; 67797.98;0.86;  1644.46;0.94;  2554.37;0.75;  1127.91;0.90;  2178.15;0.99;  5022.02;0.89;  2075.54;0.93;  1423.06;0.98;  1458.42;0.98;  1408.92;0.91; 10956.13;0.91; 10597.03;0.92; 11118.21;0.97;  14003.9;0.97;  13748.1;0.97; 11961.03;0.70;  4175.35;0.75;  4064.59;0.75;  5328.22;0.88;  7477.66;0.78;  4706.73;0.83;  5524.64;0.81;  5356.71;0.79;  5167.73;0.80;  5106.91;
01.01.2025;12:00:44;0.97; 78181.62;0.97; 71276.14;0.96; 67798.13;0.84;  1695.61;0.94;  2589.63;0.74;  1165.67;0.90;  2191.76;0.99;  5017.99;0.88;  2065.37;0.93;  1456.44;0.98;  1459.27;0.98;  1437.58;0.91; 11167.37;0.91; 10886.51;0.92; 10846.89;0.97; 14045.03;0.97; 13737.86;0.97; 11920.34;0.70;  4066.54;0.75;   4075.8;0.75;  5186.97;0.88;  7296.83;0.79;  4756.77;0.83;  5528.87;0.81;  5334.45;0.78;  5148.83;0.80;   5079.6;
01.01.2025;12:00:44;0.97; 78679.89;0.97; 71466.84;0.96; 67938.55;0.85;  1665.56;0.94;   2591.4;0.74;  1152.68;0.90;  2219.92;0.99;  5047.05;0.89;  2104.26;0.93;  1464.76;0.98;  1461.45;0.99;  1426.61;0.91; 10962.25;0.91; 10553.34;0.92; 11293.96;0.97; 13936.86;0.97; 13868.08;0.97; 11996.03;0.70;  4090.96;0.74;  3966.26;0.74;  5131.31;0.87;  7299.39;0.79;  4748.53;0.83;  5483.62;0.81;  5362.86;0.79;  5158.82;0.80;  5107.98;
